"year","month","noaa.year.month","noaa.temp.anom","mcfarland.year.month","mcfarland.temp.anom","serc.year.month","serc.temp.anom"
1905,5,1905-05-01,-2.9812282986111,NA,NA,NA,NA
1905,6,1905-06-01,-4.9076605902778,NA,NA,NA,NA
1905,7,1905-07-01,-2.9166666666667,NA,NA,NA,NA
1905,8,1905-08-01,-4.3986545138889,NA,NA,NA,NA
1905,9,1905-09-01,-3.5220269097222,NA,NA,NA,NA
1905,10,1905-10-01,-2.5563151041667,NA,NA,NA,NA
1905,11,1905-11-01,-2.73198784722222,NA,NA,NA,NA
1905,12,1905-12-01,-1.4501953125,NA,NA,NA,NA
1906,1,1906-01-01,2.40190972222222,NA,NA,NA,NA
1906,2,1906-02-01,-2.35210503472222,NA,NA,NA,NA
1906,3,1906-03-01,-4.11686197916667,NA,NA,NA,NA
1906,4,1906-04-01,-3.17816840277778,NA,NA,NA,NA
1906,5,1906-05-01,-3.4509548611111,NA,NA,NA,NA
1906,6,1906-06-01,-3.3275824652778,NA,NA,NA,NA
1906,7,1906-07-01,-2.9469401041667,NA,NA,NA,NA
1906,8,1906-08-01,-1.6984592013889,NA,NA,NA,NA
1906,9,1906-09-01,-1.9917534722222,NA,NA,NA,NA
1906,10,1906-10-01,-2.1266276041667,NA,NA,NA,NA
1906,11,1906-11-01,-2.78179253472222,NA,NA,NA,NA
1906,12,1906-12-01,-5.009765625,NA,NA,NA,NA
1907,1,1907-01-01,-3.34809027777778,NA,NA,NA,NA
1907,2,1907-02-01,-6.64214409722222,NA,NA,NA,NA
1907,3,1907-03-01,-2.87662760416667,NA,NA,NA,NA
1907,4,1907-04-01,-3.54730902777778,NA,NA,NA,NA
1907,5,1907-05-01,-5.1013454861111,NA,NA,NA,NA
1907,6,1907-06-01,-4.3373480902778,NA,NA,NA,NA
1907,7,1907-07-01,-3.8170572916667,NA,NA,NA,NA
1907,8,1907-08-01,-4.0793185763889,NA,NA,NA,NA
1907,9,1907-09-01,-2.5122612847222,NA,NA,NA,NA
1907,10,1907-10-01,-3.9869791666667,NA,NA,NA,NA
1907,11,1907-11-01,-2.05230034722222,NA,NA,NA,NA
1907,12,1907-12-01,-0.240234375,NA,NA,NA,NA
1908,1,1908-01-01,-0.0277777777777803,NA,NA,NA,NA
1908,2,1908-02-01,-4.13237847222222,NA,NA,NA,NA
1908,3,1908-03-01,-1.96647135416667,NA,NA,NA,NA
1908,4,1908-04-01,-3.20746527777778,NA,NA,NA,NA
1908,5,1908-05-01,-2.4011501736111,NA,NA,NA,NA
1908,6,1908-06-01,-1.9174262152778,NA,NA,NA,NA
1908,7,1908-07-01,-1.9361979166667,NA,NA,NA,NA
1908,8,1908-08-01,-4.0187717013889,NA,NA,NA,NA
1908,9,1908-09-01,-1.0523003472222,NA,NA,NA,NA
1908,10,1908-10-01,-0.4762369791667,NA,NA,NA,NA
1908,11,1908-11-01,-2.04253472222222,NA,NA,NA,NA
1908,12,1908-12-01,-2.9501953125,NA,NA,NA,NA
1909,1,1909-01-01,-0.67816840277778,NA,NA,NA,NA
1909,2,1909-02-01,-2.64214409722222,NA,NA,NA,NA
1909,3,1909-03-01,-1.77701822916667,NA,NA,NA,NA
1909,4,1909-04-01,-3.08734809027778,NA,NA,NA,NA
1909,5,1909-05-01,-3.2312282986111,NA,NA,NA,NA
1909,6,1909-06-01,-2.2279730902778,NA,NA,NA,NA
1909,7,1909-07-01,-3.1363932291667,NA,NA,NA,NA
1909,8,1909-08-01,-3.0890842013889,NA,NA,NA,NA
1909,9,1909-09-01,-2.4019097222222,NA,NA,NA,NA
1909,10,1909-10-01,-0.8766276041667,NA,NA,NA,NA
1909,11,1909-11-01,-0.22222222222222,NA,NA,NA,NA
1909,12,1909-12-01,-2.6298828125,NA,NA,NA,NA
1910,1,1910-01-01,1.72222222222222,NA,NA,NA,NA
1910,2,1910-02-01,-2.66265190972222,NA,NA,NA,NA
1910,3,1910-03-01,1.14290364583333,NA,NA,NA,NA
1910,4,1910-04-01,-0.15766059027778,NA,NA,NA,NA
1910,5,1910-05-01,-3.1306423611111,NA,NA,NA,NA
1910,6,1910-06-01,-3.7377387152778,NA,NA,NA,NA
1910,7,1910-07-01,-1.6363932291667,NA,NA,NA,NA
1910,8,1910-08-01,-3.5392795138889,NA,NA,NA,NA
1910,9,1910-09-01,-3.2124565972222,NA,NA,NA,NA
1910,10,1910-10-01,-1.4762369791667,NA,NA,NA,NA
1910,11,1910-11-01,-2.33257378472222,NA,NA,NA,NA
1910,12,1910-12-01,-4.8203125,NA,NA,NA,NA
1911,1,1911-01-01,-0.51801215277778,NA,NA,NA,NA
1911,2,1911-02-01,-6.10210503472222,NA,NA,NA,NA
1911,3,1911-03-01,-3.53678385416667,NA,NA,NA,NA
1911,4,1911-04-01,-2.79730902777778,NA,NA,NA,NA
1911,5,1911-05-01,-0.4109157986111,NA,NA,NA,NA
1911,6,1911-06-01,-2.9779730902778,NA,NA,NA,NA
1911,7,1911-07-01,-0.9762369791667,NA,NA,NA,NA
1911,8,1911-08-01,-3.0890842013889,NA,NA,NA,NA
1911,9,1911-09-01,-3.7622612847222,NA,NA,NA,NA
1911,10,1911-10-01,-2.0367838541667,NA,NA,NA,NA
1911,11,1911-11-01,-2.62261284722222,NA,NA,NA,NA
1911,12,1911-12-01,0.5595703125,NA,NA,NA,NA
1912,1,1912-01-01,-5.19769965277778,NA,NA,NA,NA
1912,2,1912-02-01,-4.11187065972222,NA,NA,NA,NA
1912,3,1912-03-01,-2.69694010416667,NA,NA,NA,NA
1912,4,1912-04-01,-3.13812934027778,NA,NA,NA,NA
1912,5,1912-05-01,-2.1413845486111,NA,NA,NA,NA
1912,6,1912-06-01,-3.4174262152778,NA,NA,NA,NA
1912,7,1912-07-01,-2.5670572916667,NA,NA,NA,NA
1912,8,1912-08-01,-5.0793185763889,NA,NA,NA,NA
1912,9,1912-09-01,-3.8218315972222,NA,NA,NA,NA
1912,10,1912-10-01,-1.2067057291667,NA,NA,NA,NA
1912,11,1912-11-01,-1.86187065972222,NA,NA,NA,NA
1912,12,1912-12-01,-1.16015625,NA,NA,NA,NA
1913,1,1913-01-01,3.34233940972222,NA,NA,NA,NA
1913,2,1913-02-01,-4.71245659722222,NA,NA,NA,NA
1913,3,1913-03-01,0.233723958333332,NA,NA,NA,NA
1913,4,1913-04-01,-1.75824652777778,NA,NA,NA,NA
1913,5,1913-05-01,-4.8806423611111,NA,NA,NA,NA
1913,6,1913-06-01,-3.5180121527778,NA,NA,NA,NA
1913,7,1913-07-01,-1.6764322916667,NA,NA,NA,NA
1913,8,1913-08-01,-3.6886935763889,NA,NA,NA,NA
1913,9,1913-09-01,-3.8521050347222,NA,NA,NA,NA
1913,10,1913-10-01,1.5833333333333,NA,NA,NA,NA
1913,11,1913-11-01,-0.93218315972222,NA,NA,NA,NA
1913,12,1913-12-01,-0.8603515625,NA,NA,NA,NA
1914,1,1914-01-01,-3.33734809027778,NA,NA,NA,NA
1914,2,1914-02-01,-7.09233940972222,NA,NA,NA,NA
1914,3,1914-03-01,-2.56705729166667,NA,NA,NA,NA
1914,4,1914-04-01,-3.81781684027778,NA,NA,NA,NA
1914,5,1914-05-01,-0.5808376736111,NA,NA,NA,NA
1914,6,1914-06-01,-3.3178168402778,NA,NA,NA,NA
1914,7,1914-07-01,-3.3766276041667,NA,NA,NA,NA
1914,8,1914-08-01,-2.9884982638889,NA,NA,NA,NA
1914,9,1914-09-01,-1.2417534722222,NA,NA,NA,NA
1914,10,1914-10-01,-0.0465494791666998,NA,NA,NA,NA
1914,11,1914-11-01,-4.74175347222222,NA,NA,NA,NA
1914,12,1914-12-01,-4.4599609375,NA,NA,NA,NA
1915,1,1915-01-01,0.26226128472222,NA,NA,NA,NA
1915,2,1915-02-01,-0.0523003472222201,NA,NA,NA,NA
1915,3,1915-03-01,-2.30631510416667,NA,NA,NA,NA
1915,4,1915-04-01,-0.33734809027778,NA,NA,NA,NA
1915,5,1915-05-01,-2.4314236111111,NA,NA,NA,NA
1915,6,1915-06-01,-2.5277777777778,NA,NA,NA,NA
1915,7,1915-07-01,-2.8063151041667,NA,NA,NA,NA
1915,8,1915-08-01,-2.8888888888889,NA,NA,NA,NA
1915,9,1915-09-01,-0.5425347222222,NA,NA,NA,NA
1915,10,1915-10-01,-0.8170572916667,NA,NA,NA,NA
1915,11,1915-11-01,-1.59233940972222,NA,NA,NA,NA
1915,12,1915-12-01,-1.0400390625,NA,NA,NA,NA
1916,1,1916-01-01,0.24175347222222,NA,NA,NA,NA
1916,2,1916-02-01,-4.77202690972222,NA,NA,NA,NA
1916,3,1916-03-01,-5.74674479166667,NA,NA,NA,NA
1916,4,1916-04-01,-2.38812934027778,NA,NA,NA,NA
1916,5,1916-05-01,-2.7712673611111,NA,NA,NA,NA
1916,6,1916-06-01,-3.1576605902778,NA,NA,NA,NA
1916,7,1916-07-01,-1.6569010416667,NA,NA,NA,NA
1916,8,1916-08-01,-1.5187717013889,NA,NA,NA,NA
1916,9,1916-09-01,-1.6226128472222,NA,NA,NA,NA
1916,10,1916-10-01,-0.7164713541667,NA,NA,NA,NA
1916,11,1916-11-01,-3.90190972222222,NA,NA,NA,NA
1916,12,1916-12-01,-2.0703125,NA,NA,NA,NA
1917,1,1917-01-01,-0.96820746527778,NA,NA,NA,NA
1917,2,1917-02-01,-4.91265190972222,NA,NA,NA,NA
1917,3,1917-03-01,-1.55631510416667,NA,NA,NA,NA
1917,4,1917-04-01,-2.55805121527778,NA,NA,NA,NA
1917,5,1917-05-01,-5.3611111111111,NA,NA,NA,NA
1917,6,1917-06-01,-4.2182074652778,NA,NA,NA,NA
1917,7,1917-07-01,-2.0367838541667,NA,NA,NA,NA
1917,8,1917-08-01,-2.8185763888889,NA,NA,NA,NA
1917,9,1917-09-01,-3.6118706597222,NA,NA,NA,NA
1917,10,1917-10-01,-2.5865885416667,NA,NA,NA,NA
1917,11,1917-11-01,-4.46245659722222,NA,NA,NA,NA
1917,12,1917-12-01,-6.7197265625,NA,NA,NA,NA
1918,1,1918-01-01,-5.20746527777778,NA,NA,NA,NA
1918,2,1918-02-01,-4.26226128472222,NA,NA,NA,NA
1918,3,1918-03-01,-2.44694010416667,NA,NA,NA,NA
1918,4,1918-04-01,-1.72797309027778,NA,NA,NA,NA
1918,5,1918-05-01,0.4484592013889,NA,NA,NA,NA
1918,6,1918-06-01,-4.1781684027778,NA,NA,NA,NA
1918,7,1918-07-01,-3.0670572916667,NA,NA,NA,NA
1918,8,1918-08-01,-3.2287326388889,NA,NA,NA,NA
1918,9,1918-09-01,-3.4419487847222,NA,NA,NA,NA
1918,10,1918-10-01,-1.0670572916667,NA,NA,NA,NA
1918,11,1918-11-01,-1.50249565972222,NA,NA,NA,NA
1918,12,1918-12-01,-1.26953125,NA,NA,NA,NA
1919,1,1919-01-01,1.24175347222222,NA,NA,NA,NA
1919,2,1919-02-01,-0.75249565972222,NA,NA,NA,NA
1919,3,1919-03-01,0.443684895833332,NA,NA,NA,NA
1919,4,1919-04-01,-2.06781684027778,NA,NA,NA,NA
1919,5,1919-05-01,-1.4909939236111,NA,NA,NA,NA
1919,6,1919-06-01,-1.9476996527778,NA,NA,NA,NA
1919,7,1919-07-01,-2.1969401041667,NA,NA,NA,NA
1919,8,1919-08-01,-5.0588107638889,NA,NA,NA,NA
1919,9,1919-09-01,-2.9126519097222,NA,NA,NA,NA
1919,10,1919-10-01,-3.2067057291667,NA,NA,NA,NA
1919,11,1919-11-01,-1.75249565972222,NA,NA,NA,NA
1919,12,1919-12-01,-5.4599609375,NA,NA,NA,NA
1920,1,1920-01-01,-6.64789496527778,NA,NA,NA,NA
1920,2,1920-02-01,-4.39214409722222,NA,NA,NA,NA
1920,3,1920-03-01,-1.46647135416667,NA,NA,NA,NA
1920,4,1920-04-01,-2.96820746527778,NA,NA,NA,NA
1920,5,1920-05-01,-2.8415798611111,NA,NA,NA,NA
1920,6,1920-06-01,-2.4975043402778,NA,NA,NA,NA
1920,7,1920-07-01,-1.7662760416667,NA,NA,NA,NA
1920,8,1920-08-01,-0.9884982638889,NA,NA,NA,NA
1920,9,1920-09-01,-1.7319878472222,NA,NA,NA,NA
1920,10,1920-10-01,1.2034505208333,NA,NA,NA,NA
1920,11,1920-11-01,-3.74175347222222,NA,NA,NA,NA
1920,12,1920-12-01,-1.2099609375,NA,NA,NA,NA
1921,1,1921-01-01,0.16265190972222,NA,NA,NA,NA
1921,2,1921-02-01,-1.79253472222222,NA,NA,NA,NA
1921,3,1921-03-01,1.76302083333333,NA,NA,NA,NA
1921,4,1921-04-01,0.50249565972222,NA,NA,NA,NA
1921,5,1921-05-01,-0.8308376736111,NA,NA,NA,NA
1921,6,1921-06-01,-1.9779730902778,NA,NA,NA,NA
1921,7,1921-07-01,0.1331380208333,NA,NA,NA,NA
1921,8,1921-08-01,-3.1388888888889,NA,NA,NA,NA
1921,9,1921-09-01,-0.4819878472222,NA,NA,NA,NA
1921,10,1921-10-01,-0.9264322916667,NA,NA,NA,NA
1921,11,1921-11-01,-4.72222222222222,NA,NA,NA,NA
1921,12,1921-12-01,-3.4599609375,NA,NA,NA,NA
1922,1,1922-01-01,-3.32758246527778,NA,NA,NA,NA
1922,2,1922-02-01,-3.35210503472222,NA,NA,NA,NA
1922,3,1922-03-01,-0.086588541666668,NA,NA,NA,NA
1922,4,1922-04-01,-1.23773871527778,NA,NA,NA,NA
1922,5,1922-05-01,-0.9314236111111,NA,NA,NA,NA
1922,6,1922-06-01,-1.2377387152778,NA,NA,NA,NA
1922,7,1922-07-01,-2.2662760416667,NA,NA,NA,NA
1922,8,1922-08-01,-2.2892795138889,NA,NA,NA,NA
1922,9,1922-09-01,-1.9722222222222,NA,NA,NA,NA
1922,10,1922-10-01,-1.8268229166667,NA,NA,NA,NA
1922,11,1922-11-01,-2.43218315972222,NA,NA,NA,NA
1922,12,1922-12-01,-5.6396484375,NA,NA,NA,NA
1923,1,1923-01-01,-4.14789496527778,NA,NA,NA,NA
1923,2,1923-02-01,-7.86187065972222,NA,NA,NA,NA
1923,3,1923-03-01,-6.22623697916667,NA,NA,NA,NA
1923,4,1923-04-01,-3.76801215277778,NA,NA,NA,NA
1923,5,1923-05-01,-2.3806423611111,NA,NA,NA,NA
1923,6,1923-06-01,-1.9682074652778,NA,NA,NA,NA
1923,7,1923-07-01,-3.2467447916667,NA,NA,NA,NA
1923,8,1923-08-01,-4.4289279513889,NA,NA,NA,NA
1923,9,1923-09-01,-2.0718315972222,NA,NA,NA,NA
1923,10,1923-10-01,-1.0270182291667,NA,NA,NA,NA
1923,11,1923-11-01,-1.16265190972222,NA,NA,NA,NA
1923,12,1923-12-01,1.669921875,NA,NA,NA,NA
1924,1,1924-01-01,-0.53754340277778,NA,NA,NA,NA
1924,2,1924-02-01,-5.47222222222222,NA,NA,NA,NA
1924,3,1924-03-01,-0.236979166666668,NA,NA,NA,NA
1924,4,1924-04-01,-2.82758246527778,NA,NA,NA,NA
1924,5,1924-05-01,-2.8113064236111,NA,NA,NA,NA
1924,6,1924-06-01,-3.0775824652778,NA,NA,NA,NA
1924,7,1924-07-01,-1.4069010416667,NA,NA,NA,NA
1924,8,1924-08-01,-2.5490451388889,NA,NA,NA,NA
1924,9,1924-09-01,-2.5523003472222,NA,NA,NA,NA
1924,10,1924-10-01,-0.7662760416667,NA,NA,NA,NA
1924,11,1924-11-01,-1.84233940972222,NA,NA,NA,NA
1924,12,1924-12-01,-5.3203125,NA,NA,NA,NA
1925,1,1925-01-01,-5.37738715277778,NA,NA,NA,NA
1925,2,1925-02-01,1.12738715277778,NA,NA,NA,NA
1925,3,1925-03-01,0.063802083333332,NA,NA,NA,NA
1925,4,1925-04-01,-1.16742621527778,NA,NA,NA,NA
1925,5,1925-05-01,-3.0710720486111,NA,NA,NA,NA
1925,6,1925-06-01,-1.7582465277778,NA,NA,NA,NA
1925,7,1925-07-01,-2.4567057291667,NA,NA,NA,NA
1925,8,1925-08-01,-2.1886935763889,NA,NA,NA,NA
1925,9,1925-09-01,-3.0923394097222,NA,NA,NA,NA
1925,10,1925-10-01,-5.4264322916667,NA,NA,NA,NA
1925,11,1925-11-01,-2.39214409722222,NA,NA,NA,NA
1925,12,1925-12-01,-3.3798828125,NA,NA,NA,NA
1926,1,1926-01-01,-2.25824652777778,NA,NA,NA,NA
1926,2,1926-02-01,-4.32183159722222,NA,NA,NA,NA
1926,3,1926-03-01,-5.57682291666667,NA,NA,NA,NA
1926,4,1926-04-01,-5.04730902777778,NA,NA,NA,NA
1926,5,1926-05-01,-3.3708767361111,NA,NA,NA,NA
1926,6,1926-06-01,-3.2279730902778,NA,NA,NA,NA
1926,7,1926-07-01,-2.5670572916667,NA,NA,NA,NA
1926,8,1926-08-01,-3.1486545138889,NA,NA,NA,NA
1926,9,1926-09-01,-2.4917534722222,NA,NA,NA,NA
1926,10,1926-10-01,-2.0768229166667,NA,NA,NA,NA
1926,11,1926-11-01,-1.11187065972222,NA,NA,NA,NA
1926,12,1926-12-01,-4.1103515625,NA,NA,NA,NA
1927,1,1927-01-01,0.70269097222222,NA,NA,NA,NA
1927,2,1927-02-01,-2.95269097222222,NA,NA,NA,NA
1927,3,1927-03-01,0.063802083333332,NA,NA,NA,NA
1927,4,1927-04-01,-0.99750434027778,NA,NA,NA,NA
1927,5,1927-05-01,-3.7907986111111,NA,NA,NA,NA
1927,6,1927-06-01,-3.6781684027778,NA,NA,NA,NA
1927,7,1927-07-01,-2.5270182291667,NA,NA,NA,NA
1927,8,1927-08-01,-4.3791232638889,NA,NA,NA,NA
1927,9,1927-09-01,-1.8726128472222,NA,NA,NA,NA
1927,10,1927-10-01,0.0237630208333002,NA,NA,NA,NA
1927,11,1927-11-01,0.35785590277778,NA,NA,NA,NA
1927,12,1927-12-01,-1.0302734375,NA,NA,NA,NA
1928,1,1928-01-01,-0.80805121527778,NA,NA,NA,NA
1928,2,1928-02-01,-3.25249565972222,NA,NA,NA,NA
1928,3,1928-03-01,-2.57682291666667,NA,NA,NA,NA
1928,4,1928-04-01,-2.88812934027778,NA,NA,NA,NA
1928,5,1928-05-01,-3.0808376736111,NA,NA,NA,NA
1928,6,1928-06-01,-3.8080512152778,NA,NA,NA,NA
1928,7,1928-07-01,-1.8463541666667,NA,NA,NA,NA
1928,8,1928-08-01,-2.3693576388889,NA,NA,NA,NA
1928,9,1928-09-01,-3.6919487847222,NA,NA,NA,NA
1928,10,1928-10-01,-1.9069010416667,NA,NA,NA,NA
1928,11,1928-11-01,-2.16265190972222,NA,NA,NA,NA
1928,12,1928-12-01,0.419921875,NA,NA,NA,NA
1929,1,1929-01-01,-0.66742621527778,NA,NA,NA,NA
1929,2,1929-02-01,-2.65190972222222,NA,NA,NA,NA
1929,3,1929-03-01,-0.406901041666668,NA,NA,NA,NA
1929,4,1929-04-01,-2.35785590277778,NA,NA,NA,NA
1929,5,1929-05-01,-1.3806423611111,NA,NA,NA,NA
1929,6,1929-06-01,-2.3480902777778,NA,NA,NA,NA
1929,7,1929-07-01,-2.4967447916667,NA,NA,NA,NA
1929,8,1929-08-01,-4.0187717013889,NA,NA,NA,NA
1929,9,1929-09-01,-1.9126519097222,NA,NA,NA,NA
1929,10,1929-10-01,-2.0465494791667,NA,NA,NA,NA
1929,11,1929-11-01,-2.35210503472222,NA,NA,NA,NA
1929,12,1929-12-01,-3.8701171875,NA,NA,NA,NA
1930,1,1930-01-01,-0.39789496527778,NA,NA,NA,NA
1930,2,1930-02-01,-2.61187065972222,NA,NA,NA,NA
